,theta,d,samples,acc_prob,acc_pl
238,0.01,8,8,0.0016056852904771236,0.0028464001818440847
239,0.01,8,9,0.0034189627685827983,0.0028303739707833176
240,0.1,1,0,0.0010823470429813357,0.0006537645840429194
241,0.1,1,1,0.0007046579859425444,0.0008174342652256686
242,0.1,1,2,0.0008878802867478025,0.0007671866092529996
243,0.1,1,3,0.0005900765890031104,0.00039178847214783326
244,0.1,1,4,0.001274242338978141,0.0010151425647220564
245,0.1,1,5,0.001498165415253462,0.0017183621656213946
246,0.1,1,6,0.001086516520489826,0.0011198864012232168
247,0.1,1,7,0.0005354984018509393,0.001050904251113506
248,0.1,1,8,0.0019667509540639413,0.0006643441314244584
249,0.1,1,9,0.0007646084433231786,0.0004757703702003794
250,0.1,2,0,0.00167393229777224,0.0014032948763519728
251,0.1,2,1,0.000529850383499775,0.001465905678918685
252,0.1,2,2,0.0010481560429651195,0.0019598839858265857
253,0.1,2,3,0.0024342864430903274,0.0014794477670590923
254,0.1,2,4,0.001454231723476012,0.0017172039801175553
255,0.1,2,5,0.0020948411106225602,0.0015743300584341695
256,0.1,2,6,0.0017914852765897316,0.001029492584203124
257,0.1,2,7,0.001480541964236978,0.0010210869028652939
258,0.1,2,8,0.002543874847320739,0.0014350037848845673
259,0.1,2,9,0.0015074887883079514,0.0022342851785720395
260,0.1,3,0,0.0032390598455364745,0.0041830624977395175
261,0.1,3,1,0.0018162812820097065,0.0016452161957267177
262,0.1,3,2,0.0015645992343581818,0.0017504976304245773
263,0.1,3,3,0.0022248056090703313,0.0026155093744038745
264,0.1,3,4,0.0021595349107146194,0.002324434428856373
265,0.1,3,5,0.0021267485641889815,0.0012320580642480787
266,0.1,3,6,0.002597398559616284,0.00266062216847945
267,0.1,3,7,0.0029742191183368813,0.001505121115300184
268,0.1,3,8,0.002173305022188569,0.0014912090872245113
269,0.1,3,9,0.0026117932265801087,0.0013924589078118676
270,0.1,4,0,0.0011347426485099402,0.0031185515665495293
271,0.1,4,1,0.001440851533209474,0.0013489210899232356
272,0.1,4,2,0.002199853950389012,0.002116862644100797
273,0.1,4,3,0.0023777439956742187,0.0018879589783692304
274,0.1,4,4,0.0029349198832831457,0.0008059228024410739
275,0.1,4,5,0.0024317515059404625,0.0016167765401727912
276,0.1,4,6,0.0016317576032626108,0.0013363857444962596
277,0.1,4,7,0.002194950689332486,0.001605481082652831
278,0.1,4,8,0.00270195085710195,0.002631623247752242
279,0.1,4,9,0.0024234824327572587,0.002652498307445211
280,0.1,5,0,0.0033892515681431027,0.0023735623558386793
281,0.1,5,1,0.0030724186721305838,0.002664083518548836
282,0.1,5,2,0.0019004088072501534,0.0017598717082162533
283,0.1,5,3,0.0022250770268898213,0.0027026421590551197
284,0.1,5,4,0.0016528992060009225,0.007306103215242836
285,0.1,5,5,0.0009555980526113523,0.0009028061742821803
286,0.1,5,6,0.0013190545740376493,0.002658615251249762
287,0.1,5,7,0.00420421097758992,0.0019102712553876354
288,0.1,5,8,0.002639138348144366,0.0012927271647822803
289,0.1,5,9,0.0035918902566009154,0.0015891238516556536
290,0.1,6,0,0.0025537003194266153,0.0019592853765673496
291,0.1,6,1,0.0025096226801827578,0.0024041780366254716
292,0.1,6,2,0.0021295454291558767,0.0015320856759573455
293,0.1,6,3,0.0014217872793303055,0.0033158748483025505
294,0.1,6,4,0.0023233896334162746,0.0011428319318219308
295,0.1,6,5,0.0015281407915025036,0.0024962990805556928
296,0.1,6,6,0.0020931489598988895,0.0013922502511092968
297,0.1,6,7,0.001907607399864596,0.003510901011542173
298,0.1,6,8,0.0025016077326572564,0.0035654431551260324
299,0.1,6,9,0.0031836356792372305,0.002099068689112466
300,0.1,7,0,0.0021970182511579246,0.0012691592345992113
301,0.1,7,1,0.0018492583412608244,0.001935512911635625
302,0.1,7,2,0.0018388936133024903,0.004404185736380827
303,0.1,7,3,0.002282363232846985,0.003965599650608586
304,0.1,7,4,0.0025327307034730367,0.001839032218073099
305,0.1,7,5,0.0013355852886592272,0.002542630356047604
306,0.1,7,6,0.002923554710724451,0.0013268089605476545
307,0.1,7,7,0.002813920011169615,0.003741510424656455
308,0.1,7,8,0.001966678911380573,0.001796186362582671
309,0.1,7,9,0.0031978241962519875,0.0011374976719734794
310,0.1,8,0,0.0035383459199354707,0.003417167756693484
311,0.1,8,1,0.0018149180238954555,0.005392705614024853
312,0.1,8,2,0.001512209320728619,0.0024640848660503444
313,0.1,8,3,0.0016091622420885655,0.003692447178240962
314,0.1,8,4,0.002669379971687155,0.002486059789754505
315,0.1,8,5,0.0018244311823665676,0.0050507007090186745
316,0.1,8,6,0.0022360231173715445,0.002063778695076001
317,0.1,8,7,0.0018349630454695552,0.002923143490464038
318,0.1,8,8,0.0016056852904771236,0.0009072441287280972
319,0.1,8,9,0.0034189627685827983,0.004636323899685214
320,1.0,1,0,0.0010823470429813357,0.0007405373117295789
321,1.0,1,1,0.0007046579859425444,0.0008542228671925143
322,1.0,1,2,0.0008878802867478025,0.0009165849161151693
323,1.0,1,3,0.0005900765890031104,0.0008282270611093206
324,1.0,1,4,0.001274242338978141,0.0007462073894417673
325,1.0,1,5,0.001498165415253462,0.0007436663238353812
326,1.0,1,6,0.001086516520489826,0.0007474447671552726
327,1.0,1,7,0.0005354984018509393,0.0008389807502714352
328,1.0,1,8,0.0019667509540639413,0.0009418318507609542
329,1.0,1,9,0.0007646084433231786,0.0004463493506427821
330,1.0,2,0,0.00167393229777224,0.0013865127368278064
331,1.0,2,1,0.000529850383499775,0.0019687519122692097
332,1.0,2,2,0.0010481560429651195,0.001659130401598965
333,1.0,2,3,0.0024342864430903274,0.0028911254001749765
334,1.0,2,4,0.001454231723476012,0.0014375642627758264
335,1.0,2,5,0.0020948411106225602,0.0015124191428285872
336,1.0,2,6,0.0017914852765897316,0.0012672366979272149
337,1.0,2,7,0.001480541964236978,0.0012616364957042491
338,1.0,2,8,0.002543874847320739,0.002991022244503415
339,1.0,2,9,0.0015074887883079514,0.0016833808697286658
340,1.0,3,0,0.0032390598455364745,0.0023468051279520695
341,1.0,3,1,0.0018162812820097065,0.002719040871145472
342,1.0,3,2,0.0015645992343581818,0.0014844379993713137
343,1.0,3,3,0.0022248056090703313,0.0018765032356684933
344,1.0,3,4,0.0021595349107146194,0.00293516868413465
345,1.0,3,5,0.0021267485641889815,0.0017463119036495052
346,1.0,3,6,0.002597398559616284,0.0026923363162311966
347,1.0,3,7,0.0029742191183368813,0.001979800812127583
348,1.0,3,8,0.002173305022188569,0.0027684658735608256
349,1.0,3,9,0.0026117932265801087,0.002348656530304201
350,1.0,4,0,0.0011347426485099402,0.0021864071025781183
351,1.0,4,1,0.001440851533209474,0.0014859413732356448
352,1.0,4,2,0.002199853950389012,0.001990932486471351
353,1.0,4,3,0.0023777439956742187,0.003869979967058834
354,1.0,4,4,0.0029349198832831457,0.0021576426450654815
355,1.0,4,5,0.0024317515059404625,0.0018534167240435867
356,1.0,4,6,0.0016317576032626108,0.0034835830464246347
357,1.0,4,7,0.002194950689332486,0.002637399968430402
358,1.0,4,8,0.00270195085710195,0.002384711658680028
359,1.0,4,9,0.0024234824327572587,0.003807284480397762
360,1.0,5,0,0.0033892515681431027,0.0020205937262430074
361,1.0,5,1,0.0030724186721305838,0.003665034027321728
362,1.0,5,2,0.0019004088072501534,0.002407857795873391
363,1.0,5,3,0.0022250770268898213,0.003954000537220347
364,1.0,5,4,0.0016528992060009225,0.003528861251232233
365,1.0,5,5,0.0009555980526113523,0.0025910757832033862
366,1.0,5,6,0.0013190545740376493,0.0027022619292545904
367,1.0,5,7,0.00420421097758992,0.002053829072072957
368,1.0,5,8,0.002639138348144366,0.002387224196197628
369,1.0,5,9,0.0035918902566009154,0.003106551569068246
370,1.0,6,0,0.0025537003194266153,0.0027890155814080694
371,1.0,6,1,0.0025096226801827578,0.0031666598843293654
372,1.0,6,2,0.0021295454291558767,0.002550856061989644
373,1.0,6,3,0.0014217872793303055,0.003003507682260566
374,1.0,6,4,0.0023233896334162746,0.0032158657545925885
375,1.0,6,5,0.0015281407915025036,0.002403417773799561
376,1.0,6,6,0.0020931489598988895,0.002759181120282933
377,1.0,6,7,0.001907607399864596,0.0027520898761869994
378,1.0,6,8,0.0025016077326572564,0.0036654966270024303
379,1.0,6,9,0.0031836356792372305,0.003545869624818707
380,1.0,7,0,0.0021970182511579246,0.00342507201799095
381,1.0,7,1,0.0018492583412608244,0.002322160204227363
382,1.0,7,2,0.0018388936133024903,0.0021421368518558994
383,1.0,7,3,0.002282363232846985,0.003284398500204385
384,1.0,7,4,0.0025327307034730367,0.002935768879688241
385,1.0,7,5,0.0013355852886592272,0.0024362812127867012
386,1.0,7,6,0.002923554710724451,0.0032237012806101994
387,1.0,7,7,0.002813920011169615,0.0034110024756336572
388,1.0,7,8,0.001966678911380573,0.0022901423070016804
389,1.0,7,9,0.0031978241962519875,0.0028888662426912438
390,1.0,8,0,0.0035383459199354707,0.003291431422426726
391,1.0,8,1,0.0018149180238954555,0.003387798200576462
392,1.0,8,2,0.001512209320728619,0.0028306823052955564
393,1.0,8,3,0.0016091622420885655,0.002209106626855413
394,1.0,8,4,0.002669379971687155,0.002614176013340053
395,1.0,8,5,0.0018244311823665676,0.0023045118420793763
396,1.0,8,6,0.0022360231173715445,0.003099467831876732
397,1.0,8,7,0.0018349630454695552,0.0017383183233324682
398,1.0,8,8,0.0016056852904771236,0.0024395788255728674
399,1.0,8,9,0.0034189627685827983,0.0025842660135688847
400,10.0,1,0,0.0010823470429813357,0.0010775847257524982
401,10.0,1,1,0.0007046579859425444,0.0009159330105989903
402,10.0,1,2,0.0008878802867478025,0.0007080344400446992
403,10.0,1,3,0.0005900765890031104,0.001098439811675667
404,10.0,1,4,0.001274242338978141,0.000913341605175667
405,10.0,1,5,0.001498165415253462,0.0013679016394470443
406,10.0,1,6,0.001086516520489826,0.0010291838543786838
407,10.0,1,7,0.0005354984018509393,0.0008078869836679414
408,10.0,1,8,0.0019667509540639413,0.0008035042989709405
409,10.0,1,9,0.0007646084433231786,0.0005013121447365497
410,10.0,2,0,0.00167393229777224,0.0014349752079362618
411,10.0,2,1,0.000529850383499775,0.001828991617986142
412,10.0,2,2,0.0010481560429651195,0.0012823062950215766
413,10.0,2,3,0.0024342864430903274,0.0016789493415436153
414,10.0,2,4,0.001454231723476012,0.0015159949753136921
415,10.0,2,5,0.0020948411106225602,0.0015342690964471925
416,10.0,2,6,0.0017914852765897316,0.0020630000179945153
417,10.0,2,7,0.001480541964236978,0.0015639861681101153
418,10.0,2,8,0.002543874847320739,0.001736417351077159
419,10.0,2,9,0.0015074887883079514,0.0008000704410814194
420,10.0,3,0,0.0032390598455364745,0.002398393247530304
421,10.0,3,1,0.0018162812820097065,0.0017567259807674757
422,10.0,3,2,0.0015645992343581818,0.0017992125047526896
423,10.0,3,3,0.0022248056090703313,0.0037485368537531812
424,10.0,3,4,0.0021595349107146194,0.0018820002739324368
425,10.0,3,5,0.0021267485641889815,0.0022171608104876762
426,10.0,3,6,0.002597398559616284,0.0016305662778968767
427,10.0,3,7,0.0029742191183368813,0.0019313849081734622
428,10.0,3,8,0.002173305022188569,0.0023718234399031347
429,10.0,3,9,0.0026117932265801087,0.002205743017074862
430,10.0,4,0,0.0011347426485099402,0.0030115440431392883
431,10.0,4,1,0.001440851533209474,0.0025853268828884488
432,10.0,4,2,0.002199853950389012,0.003054926212197051
433,10.0,4,3,0.0023777439956742187,0.003286895850978289
434,10.0,4,4,0.0029349198832831457,0.00301802747580649
435,10.0,4,5,0.0024317515059404625,0.0020022471061172335
436,10.0,4,6,0.0016317576032626108,0.0023792112230341784
437,10.0,4,7,0.002194950689332486,0.0029268718521153723
438,10.0,4,8,0.00270195085710195,0.002374259420090315
439,10.0,4,9,0.0024234824327572587,0.002132885050005189
440,10.0,5,0,0.0033892515681431027,0.0020879875210123426
441,10.0,5,1,0.0030724186721305838,0.0025609177192782427
442,10.0,5,2,0.0019004088072501534,0.0028387865265177724
443,10.0,5,3,0.0022250770268898213,0.002671566370893143
444,10.0,5,4,0.0016528992060009225,0.002061169958752176
445,10.0,5,5,0.0009555980526113523,0.0024835947039329614
446,10.0,5,6,0.0013190545740376493,0.00356066481485772
447,10.0,5,7,0.00420421097758992,0.0034809149326597054
448,10.0,5,8,0.002639138348144366,0.00324875643930459
449,10.0,5,9,0.0035918902566009154,0.0037017127572704133
450,10.0,6,0,0.0025537003194266153,0.002400954224934617
451,10.0,6,1,0.0025096226801827578,0.0022384191278464727
452,10.0,6,2,0.0021295454291558767,0.002284683018726344
453,10.0,6,3,0.0014217872793303055,0.0024158647151361857
454,10.0,6,4,0.0023233896334162746,0.003740198001386008
455,10.0,6,5,0.0015281407915025036,0.0015568161222736336
456,10.0,6,6,0.0020931489598988895,0.003674403775215905
457,10.0,6,7,0.001907607399864596,0.004340164559085354
458,10.0,6,8,0.0025016077326572564,0.0026432060900836033
459,10.0,6,9,0.0031836356792372305,0.0024169676422663242
460,10.0,7,0,0.0021970182511579246,0.0028058893678718135
461,10.0,7,1,0.0018492583412608244,0.003281952147682553
462,10.0,7,2,0.0018388936133024903,0.0026462568556558973
463,10.0,7,3,0.002282363232846985,0.003026002580716995
464,10.0,7,4,0.0025327307034730367,0.0029267068997816735
465,10.0,7,5,0.0013355852886592272,0.002964787381327334
466,10.0,7,6,0.002923554710724451,0.002917109154294281
467,10.0,7,7,0.002813920011169615,0.0026858438167745727
468,10.0,7,8,0.001966678911380573,0.0029873139638624284
469,10.0,7,9,0.0031978241962519875,0.0023440302215558114
470,10.0,8,0,0.0035383459199354707,0.0027884581739806395
471,10.0,8,1,0.0018149180238954555,0.003802855155700201
472,10.0,8,2,0.001512209320728619,0.003385659923336146
473,10.0,8,3,0.0016091622420885655,0.003471889813800879
474,10.0,8,4,0.002669379971687155,0.0025526152862648255
475,10.0,8,5,0.0018244311823665676,0.003524050828947463
476,10.0,8,6,0.0022360231173715445,0.0038205423400574853
477,10.0,8,7,0.0018349630454695552,0.003032768308279601
478,10.0,8,8,0.0016056852904771236,0.0023465834375455477
479,10.0,8,9,0.0034189627685827983,0.002505795123973478
